SA,DATE,Burn_date,PLOT,PLOT,PLOT,#VP,LAI,SEL,CONF,NOTES,Burn,Fuels,Planting
B,19980731,NA,1,A,1,,1.2,0.21,,,Unburned,None,None
B,19980731,NA,1,A,2,,1.67,0.34,,,Unburned,None,None
B,19980731,NA,1,A,3,,1.71,0.3,,,Unburned,None,None
B,19980731,NA,1,A,4,,0.9,0.18,,,Unburned,None,None
B,19980731,NA,1,A,5,,2.07,0.27,,,Unburned,None,None
B,19980731,NA,1,A,6,,0.67,0.21,,,Unburned,None,None
B,19980731,NA,1,A,7,,0.85,0.16,,,Unburned,None,None
B,19980731,NA,1,A,8,,0.94,0.11,,,Unburned,None,None
B,19980731,NA,1,A,9,,1.24,0.19,,,Unburned,None,None
B,19980731,NA,1,A,10,,2.05,0.23,,,Unburned,None,None
B,20041006,,2,A,1,9,1.28,0.15,10,"cool, PC",,,
B,20041006,,2,A,1,,1.19,0.18,,"cool, sunny, calm",,,
B,20041006,,2,A,2,9,1.89,0.22,10,"cool, PC",,,
B,20041006,,2,A,2,,0.87,0.21,,"cool, sunny, calm",,,
B,20041006,,2,A,3,9,1.79,0.15,6,"cool, PC",,,
B,20041006,,2,A,3,,0.1,0.04,,"cool, sunny, calm",,,
B,20041006,,2,A,4,9,2.09,0.37,6,"cool, PC",,,
B,20041006,,2,A,4,,0.78,0.12,,"cool, sunny, calm",,,
B,20041006,,2,A,5,9,0.81,0.22,9,"cool, PC",,,
B,20041006,,2,A,5,,1.17,0.26,,"cool, sunny, calm",,,
B,20041006,,2,A,6,9,2.36,1.26,8,"cool, PC",,,
B,20041006,,2,A,6,,0.61,0.11,,"cool, sunny, calm",,,
B,20041006,,2,A,7,9,1.34,0.15,9,"cool, PC",,,
B,20041006,,2,A,7,,0.85,0.21,,"cool, sunny, calm",,,
B,20041006,,2,A,8,9,2.26,0.32,9,"cool, PC",,,
B,20041006,,2,A,8,,0.77,0.13,,"cool, sunny, calm",,,
B,20041006,,2,A,9,9,1.82,0.23,9,"cool, PC",,,
B,20041006,,2,A,9,,0.73,0.26,,"cool, sunny, calm",,,
B,20041006,,2,A,10,9,2.03,0,9,"cool, PC",,,
B,20041006,,2,A,10,,0.08,0.02,,"cool, sunny, calm",,,
B,19980723,NA,3,A,1,,0.06,0.03,,,Unburned,Nutcracker,Planted
B,19980723,NA,3,A,2,,0.05,0.02,,,Unburned,Nutcracker,Planted
B,19980723,NA,3,A,3,,0,0,,,Unburned,Nutcracker,Planted
B,19980723,NA,3,A,4,,0.29,0.05,,,Unburned,Nutcracker,Planted
B,19980723,NA,3,A,5,,0.05,0.03,,,Unburned,Nutcracker,Planted
B,19980723,NA,3,A,6,,0.18,0.04,,,Unburned,Nutcracker,Planted
B,19980723,NA,3,A,7,,0.13,0.04,,,Unburned,Nutcracker,Planted
B,19980723,NA,3,A,8,,0.04,0.02,,,Unburned,Nutcracker,Planted
B,19980723,NA,3,A,9,,0.11,0.03,,,Unburned,Nutcracker,Planted
B,19980723,NA,3,A,10,,0.08,0.04,,,Unburned,Nutcracker,Planted
B,19980723,1999,3,B,1,,0.31,0.07,,,Burned,Nutcracker,Planted
B,19980723,1999,3,B,2,,0,0,,,Burned,Nutcracker,Planted
B,19980723,1999,3,B,3,,0.05,0,,,Burned,Nutcracker,Planted
B,19980723,1999,3,B,4,,0.24,0.13,,,Burned,Nutcracker,Planted
B,19980723,1999,3,B,5,,0.04,0.02,,,Burned,Nutcracker,Planted
B,19980723,1999,3,B,6,,0.22,0.05,,,Burned,Nutcracker,Planted
B,19980723,1999,3,B,7,,0.31,0.18,,,Burned,Nutcracker,Planted
B,19980723,1999,3,B,8,,0.15,0.03,,,Burned,Nutcracker,Planted
B,19980723,1999,3,B,9,,0.08,0.03,,,Burned,Nutcracker,Planted
B,19980723,1999,3,B,10,,0.02,0.02,,,Burned,Nutcracker,Planted
B,19980728,1999,4,B,1,,1.03,0.13,,,Underburn,Enhancement,None
B,19980728,1999,4,B,2,,1.29,0.27,,,Underburn,Enhancement,None
B,19980728,1999,4,B,3,,1,0.23,,,Underburn,Enhancement,None
B,19980728,1999,4,B,4,,1.25,0.23,,,Underburn,Enhancement,None
B,19980728,1999,4,B,5,,3.7,0.35,,,Underburn,Enhancement,None
B,19980728,1999,4,B,6,,1.3,0.25,,,Underburn,Enhancement,None
B,19980728,1999,4,B,7,,2.33,0.37,,,Underburn,Enhancement,None
B,19980728,1999,4,B,8,,0.83,0.21,,,Underburn,Enhancement,None
B,19980728,1999,4,B,9,,0.45,0.23,,,Underburn,Enhancement,None
B,19980728,1999,4,B,10,,0.86,0.15,,,Underburn,Enhancement,None
B,19980731,2002,5,A,1,,2.32,0.23,,,High,None,None
B,19980731,2002,5,A,2,,1.4,0.28,,,High,None,None
B,19980731,2002,5,A,3,,1.31,0.37,,,High,None,None
B,19980731,2002,5,A,4,,3.9,0.35,,,High,None,None
B,19980731,2002,5,A,5,,2.68,0.3,,,High,None,None
B,19980731,2002,5,A,6,,4.58,0.27,,,High,None,None
B,19980731,2002,5,A,7,,2.84,0.24,,,High,None,None
B,19980731,2002,5,A,8,,2.09,0.41,,,High,None,None
B,19980731,2002,5,A,9,,2.45,0.32,,,High,None,None
B,19980731,2002,5,A,10,,1.98,0.24,,,High,None,None
B,19970922,2000,5,B,1,,2.51,0.27,,,High,Treatment,None
B,19970922,2000,5,B,2,,2.11,0.19,,,High,Treatment,None
B,19970922,2000,5,B,3,,2.23,0.11,,,High,Treatment,None
B,19970922,2000,5,B,4,,3.74,0.3,,,High,Treatment,None
B,19970922,2000,5,B,5,,3.07,0.39,,,High,Treatment,None
B,19970922,2000,5,B,6,,4.81,0.13,,,High,Treatment,None
B,19970922,2000,5,B,7,,1.64,0.31,,,High,Treatment,None
B,19970922,2000,5,B,8,,3.95,0.26,,,High,Treatment,None
B,19970922,2000,5,B,9,,3.5,0.18,,,High,Treatment,None
B,19970922,2000,5,B,10,,1.92,0.24,,,High,Treatment,None
C,19940822,,1,A,1,,1.97,0.92,,,Unburned,None,None
C,19940822,,1,A,2,,1.25,0.57,,,Unburned,None,None
C,19940822,,1,A,3,,0.64,0.17,,,Unburned,None,None
C,19940822,,1,A,4,,1.06,0.32,,,Unburned,None,None
C,19940822,,1,A,5,,2.51,0.64,,,Unburned,None,None
C,19940822,,1,A,6,,2.18,0.56,,,Unburned,None,None
C,19940822,,1,A,7,,1.54,0.41,,,Unburned,None,None
C,19940822,,1,A,8,,2.55,0.62,,,Unburned,None,None
C,19940822,,1,A,9,,2.52,0.91,,,Unburned,None,None
C,19940822,,1,A,10,,3.26,0.65,,,Unburned,None,None
C,20020823,,1,B,1,9,0.38,0.06,7,PC-CO,,,
C,19940822,,1,B,1,,1.93,0.49,,,Low,None,None
C,20020823,,1,B,2,9,1.11,0.12,7,PC,,,
C,19940822,,1,B,2,,1.71,0.7,,,,,
C,20020823,,1,B,3,9,0.6,0.15,7,PC,,,
C,19940822,,1,B,3,,3.45,0.85,,,,,
C,20020823,,1,B,4,8,3.29,0.21,5,PC,,,
C,19940822,,1,B,4,,1.64,0.63,,,,,
C,20020823,,1,B,5,0,0,0,5,NO LAI,,,
C,19940822,,1,B,5,,2.46,0.82,,,,,
C,20020823,,1,B,6,8,1.49,0.21,5,PC,,,
C,19940822,,1,B,6,,2.09,1.06,,,,,
C,20020823,,1,B,7,9,0.8,0.11,6,PC,,,
C,19940822,,1,B,7,,2.16,0.42,,,,,
C,20020823,,1,B,8,9,1.59,0.06,5,PC,,,
C,19940822,,1,B,8,,2.09,0.42,,,,,
C,20020823,,1,B,9,9,0.45,0.05,6,PC,,,
C,19940822,,1,B,9,,0.15,0.08,,,,,
C,20020823,,1,B,10,0,0,0,6,PC NO LAI,,,
C,19940822,,1,B,10,,1.83,0.67,,,,,
C,19940822,,2,A,1,,2.82,0.76,,,Unburned,None,None
C,20031003,,2,A,2,4,0.47,1.12,5,,Unburned,None,None
C,19940822,,2,A,2,,2.13,0.42,,,Unburned,None,None
C,20031003,,2,A,3,8,0.83,0.28,8,,Unburned,None,None
C,19940822,,2,A,3,,1.2,0.26,,,Unburned,None,None
C,20031003,,2,A,4,8,0,0,8,,Unburned,None,None
C,19940822,,2,A,4,,1.27,0.45,,,Unburned,None,None
C,20031003,,2,A,5,8,0,0,10,,Unburned,None,None
C,19940822,,2,A,5,,1.82,0.35,,,Unburned,None,None
C,20031003,,2,A,6,8,0.41,0.05,8,,,,
C,19940822,,2,A,6,,1.42,0.41,,,Unburned,None,None
C,20031003,,2,A,7,8,0,0,10,,,,
C,19940822,,2,A,7,,2.34,0.56,,,,,
C,20031003,,2,A,8,8,2.16,0.41,10,,,,
C,19940822,,2,A,8,,1.84,0.21,,,,,
C,20031003,,2,A,9,8,2.08,0.29,10,,,,
C,19940822,,2,A,9,,0.53,0.1,,,,,
C,20031003,,2,A,10,8,0.9,0.28,10,,,,
C,19940822,,2,A,10,,0.24,0.17,,,,,
C,20020822,,2,B,1,3,1.21,0.13,3,PC,,,
C,19940822,,2,B,1,,0.72,0.27,,,Underburn,Enhancement,None
C,20020822,,2,B,2,1,0.23,0,3,PC,,,
